url,positions,positions_top10,positions_top3,traffic,traffic_top10,traffic_top3,cost,cost_top10,cost_top3,rank
debunkingdenialism.com,151,4,1,125,4,1,7.97291733,6.975599614,2.2528,36
deccanchronicle.com,785375,41376,9779,547675,32237,7474,1587213.164,1396680.431,461322.3604,44
deccanherald.com,1908880,95487,15385,1225174,73701,12950,1720103.873,1303000.176,499563.8184,47
defconwarningsystem.com,396,55,25,249,17,3,1178.490112,1168.840283,1147.24,48
defenddemocracy.org,0,0,0,0,0,0,0,0,0,28
defendingtherepublic.org,24,8,7,15,3,2,14.88121182,14.50043429,6.897,56
defensenews.com,208008,17977,4201,108647,11029,2794,139463.9518,122561.885,64231.03887,41
defenseone.com,80045,3721,777,52980,3006,633,26835.74996,21797.25957,11313.96078,42
defiantamerica.com,0,0,0,0,0,0,0,0,0,37
defund.com,0,0,0,0,0,0,0,0,0,23
delawareonline.com,563419,24937,7140,421442,20650,6173,404241.1034,352092.4413,269627.2559,45
delgazette.com,20534,970,272,16448,749,186,4905.259747,3988.49216,1917.505817,32
delo.si,145482,18970,4664,87790,15633,4062,303371.2391,273206.013,160920.2457,48
deltanews.tv,14406,372,162,11712,208,70,1526.624875,1180.132835,809.2785601,27
deltanews.tv/wnbd,14406,372,162,11712,208,70,1526.624875,1180.132835,809.2785601,27
democracy21.org,835,18,6,709,11,1,137.9823469,90.9649392,63.08,33
democracychronicles.org,344,8,1,315,8,1,14.16778648,8.087379037,1.6575,34
democracyjournal.org,15549,418,72,12526,388,67,2284.750376,1490.458514,608.1725264,50
democracynow.org,87646,4500,1104,64663,3344,589,107371.8239,101490.2978,91008.68891,50
democratandchronicle.com,527283,40097,9473,391277,33271,8184,381142.9713,312983.6848,171515.1815,44
democratherald.com,42483,1356,433,33972,1003,292,15160.35063,13614.7573,11414.88068,52
DemocraticUnderground.com,46707,2598,332,40714,2382,207,71812.95092,69554.72385,63286.28084,45
democrats.org,35488,3520,1568,25438,1768,772,68127.57899,66070.59025,49786.72125,85
demos.org,9026,433,91,7068,246,54,13409.73041,13113.07798,7550.150392,45
dennismichaellynch.com,175,35,17,95,17,8,209.1657662,207.0216841,190.468,43
dentonrc.com,50620,2354,638,39680,1839,467,16614.69742,13728.21491,8806.016192,56
denver.cbslocal.com,234,8,3,223,8,3,46.94338885,36.20754809,23.192125,54
denvergazette.com,187596,10347,2387,137804,9179,2044,82697.9312,60932.04761,29520.1253,43
denverpost.com,1632819,87945,22116,1208385,72327,18689,1026244.611,865321.8017,542165.2409,52
derstandard.at,925154,55348,11590,661214,47150,9487,825242.4932,721529.7181,516672.9844,14
deseretnews.com,87,18,3,49,15,2,95.16211799,63.59200745,32.98,50
desertsun.com,379640,23199,5624,271442,18017,4650,209103.4251,171953.384,83377.13736,43
deshabhimani.com,9428,692,317,5576,274,86,14004.41065,13173.2328,10796.39878,32
desmogblog.com,0,0,0,0,0,0,0,0,0,46
desmoinesregister.com,668855,55977,14908,494675,42688,12121,609418.1858,529335.2421,295200.0652,48
detik.com,13758311,3616311,1196250,7204053,2652270,1027090,162255676.9,154147050.3,109714775.5,82
detroit.cbslocal.com,911,11,1,815,11,1,56.552008,31.31227689,13.6576,51
detroitnews.com,935293,50474,11799,701592,41542,9837,751333.4538,676955.5127,502033.1104,47
deutschland.de,338602,32030,7062,190112,17796,4527,276816.2185,237248.5201,92558.65165,39
diamondandsilkinc.com,162,17,13,109,5,3,14.62996751,14.21944619,14.218,23
diepresse.com,407094,9570,2568,303881,7894,1882,192680.5998,170000.5225,130943.8326,77
differencebetween.net,607250,38430,4469,329858,25653,3393,164465.5526,124952.0122,29613.56258,37
digg.com,135896,7334,2238,95913,4836,942,107356.2381,97576.82608,82933.80148,89
digi24.ro,501187,58627,23154,265428,35555,14535,2177643.939,2071452.789,1642556.542,42
digitaljournal.com,189330,3763,602,138684,3075,402,39033.73021,15405.85724,6478.137775,50
diply.com,150520,6040,1352,110454,4686,1055,28094.05511,20436.03438,8156.623628,54
disclose.tv,209,117,27,49,29,7,1695.766955,1661.487484,1418.334256,41
discoverthenetworks.org,3055,105,19,2594,94,9,391.5489193,241.3628159,107.1199167,43
discovery.org,9417,603,202,6353,390,105,4012.976785,2908.419132,2088.593176,34
disobedientmedia.com,3,0,0,3,0,0,0.000580062,0,0,41
dispatch.com,1004751,64936,15508,765999,54720,13830,758950.1451,659250.6243,398337.8688,47
disrn.com,0,0,0,0,0,0,0,0,0,41
dissentmagazine.org,41110,1509,292,30063,1064,174,7469.550012,5511.893545,1626.278549,38
diversityinc.com,2,0,0,2,0,0,0,0,0,34
djhjmedia.com,0,0,0,0,0,0,0,0,0,37
dmagazine.com,385990,33008,6754,288253,28845,5891,210330.892,172607.0636,65720.06493,46
dmlnews.com,0,0,0,0,0,0,0,0,0,30
dn.se,995966,64238,15162,680575,53946,12063,938457.0216,792999.6521,474853.3644,51
dnj.com,51866,2087,561,39985,1666,443,11153.37143,8787.163104,5319.703435,37
dnyuz.com,30096,217,43,24970,181,29,1176.002462,756.3801964,329.81025,83
doctoroz.com,4304,2459,1328,1585,623,328,38700.09474,38506.945,37126.56547,78
doctors4covidethics.org,93,18,6,28,6,2,36.85196401,36.49545054,5.749333333,53
doctorswithoutborders.org,35434,3834,1852,19703,1217,504,41992.86228,40412.51804,35638.55855,71
dominionpost.com,44116,2091,519,33714,1534,300,14417.41973,11735.63121,7286.413406,32
donaldjtrump.com,6837,1853,978,3867,702,364,1984518.935,1929096.562,1741011.021,47
dothaneagle.com,75004,2300,619,61137,1761,479,18016.66716,15470.39018,11894.15001,53
downsizinggovernment.org,12272,525,68,10342,513,68,2036.016961,1505.369921,275.9342,30
downtrend.com,0,0,0,0,0,0,0,0,0,34
dpa-international.com,0,0,0,0,0,0,0,0,0,31
draxe.com,2046264,144537,20482,1084847,65066,8872,778603.3062,526264.4368,192572.7916,81
drnorthrup.com,3813,258,73,2693,150,32,1130.490673,969.0904522,544.3304478,29
drudge.com,433,37,21,295,19,10,122.997588,117.6089526,88.032,55
drudgereport.com,3959,2311,1973,1620,429,380,2926742.101,2926651.737,2925754.647,57
duluthnewstribune.com,153503,7085,2116,116155,5338,1510,41518.89555,35322.26928,26366.86538,45
durangoherald.com,112744,4027,1222,90255,3092,890,36493.9189,31756.59022,22018.86135,45
durhamregion.com/clarington-on,84632,5629,1693,61985,4092,1088,66624.87619,60429.30244,48278.6145,33
dutchreview.com,103965,12396,2517,53008,8336,1922,59808.2208,50721.36791,20631.01309,47
dw.com,6242802,530339,117396,3225036,314130,69950,6814937.851,5782507.139,2997338.051,54
eaglerising.com,0,0,0,0,0,0,0,0,0,32
eagletribune.com,127722,4694,1464,101663,3370,930,37252.5277,32703.83356,22327.12777,38
earth.columbia.edu,8110,364,78,5706,291,64,1552.807029,1160.042623,528.2895699,25
earthfirstjournal.org,0,0,0,0,0,0,0,0,0,42
earthjustice.org,60862,3372,977,43138,2010,494,61160.13366,50964.87447,21836.46138,83
earthpulse.com,21,1,1,21,1,1,19.39253929,14.2208,14.2208,48
eastbaytimes.com,338615,13229,3462,266630,10781,2860,117407.1958,101354.5172,57782.23798,43
eastidahonews.com,111459,7177,2059,85195,5268,1560,130741.9602,123026.2725,86408.37121,33
eatthis.com,1939575,129486,25009,1131399,96343,20647,954986.3167,742487.1915,339218.9476,49
ebar.com,33943,1343,271,26698,1156,224,6567.833762,4877.012492,2395.055486,51
ecfr.eu,97057,8258,2202,48107,3797,1015,80174.48568,71674.93277,37998.46287,80
ecology.news,0,0,0,0,0,0,0,0,0,44
econlib.org,199671,25440,3423,110612,13645,2268,214326.892,184519.9729,75537.80827,40
econofact.org,28312,818,128,21691,766,123,15491.52044,14092.59635,9875.556631,45
economicpolicyjournal.com,109,3,0,94,3,0,8.00212651,4.08145652,0,36
economicshelp.org,136221,14376,3037,61043,8056,1814,79579.27951,69264.06125,30203.18274,36
economictimes.indiatimes.com,5202798,626624,138770,2868522,429259,103733,16807661.71,14844922.42,7289071.663,86
economist.com,1128554,62227,27700,647571,27208,8557,658387.8412,571072.3153,379941.6295,73
ecowatch.com,291141,23601,3413,189192,17665,2523,98602.53864,75139.29218,22979.12877,51
ecuavisa.com,371847,12990,3361,187405,9120,2166,366840.1874,287196.0615,180759.6064,39
edmonton.citynews.ca,66267,4235,531,43161,3575,477,35847.95932,26792.18522,7526.72053,41
edmontonexaminer.com,1291,48,11,929,41,6,921.7651375,109.8409263,14.818118,30
edmontonjournal.com,341960,24221,5964,232165,17884,4607,463724.6681,433589.859,219310.4522,84
edmontonsun.com,72325,2409,563,50859,1775,335,36221.57206,30378.50316,20050.08135,55
edp24.co.uk,442332,14417,2730,340766,11484,1988,217702.8518,183594.604,140532.7255,41
educateinspirechange.org,0,0,0,0,0,0,0,0,0,45
educate-yourself.org,385,60,47,259,12,10,1054.956833,1047.933567,1029.35355,53
eff.org,193366,12033,3390,119082,7122,1466,87632.39176,73334.03701,44871.27288,83
egbertowillies.com,149,2,1,132,2,1,7.373550657,2.027628829,2.0266125,40
